t,omega1,omega2,omega3
22.64,0.04427136474900838,-0.17024701507487036,0.3
22.650000000000002,0.04452380739008767,-0.17016941691768792,0.3
22.66,0.044776116668706636,-0.1700914438016808,0.3
22.67,0.0450282920265899,-0.17001309595263137,0.3
22.68,0.04528033290580905,-0.16993437359717203,0.3
22.69,0.045532238748846834,-0.16985527696275018,0.3
22.7,0.0457840089985964,-0.16977580627762845,0.3
22.71,0.04603564309836204,-0.16969596177088442,0.3
22.72,0.046287140491858475,-0.16961574367241103,0.3
22.73,0.04653850062321156,-0.16953515221291615,0.3
22.740000000000002,0.046789722936957656,-0.1694541876239229,0.3
22.75,0.047040806878043906,-0.1693728501377695,0.3
22.76,0.04729175189182851,-0.16929113998760928,0.3
22.77,0.04754255742408006,-0.1692090574074107,0.3
22.78,0.04779322292097833,-0.16912660263195742,0.3
22.79,0.048043747829113484,-0.16904377589684813,0.3
22.8,0.048294131595486824,-0.16896057743849666,0.3
22.81,0.04854437366751009,-0.16887700749413206,0.3
22.82,0.04879447349300614,-0.1687930663017984,0.3
22.830000000000002,0.04904443052020836,-0.168708754100355,0.3
22.84,0.04929424419776091,-0.1686240711294762,0.3
22.85,0.049543913974718995,-0.16853901762965148,0.3
22.86,0.04979343930054824,-0.16845359384218553,0.3
22.87,0.050042819625125405,-0.1683678000091981,0.3
22.88,0.050292054398737684,-0.16828163637362412,0.3
22.89,0.050541143072083405,-0.16819510317921355,0.3
22.900000000000002,0.05079008509627139,-0.1681082006705316,0.3
22.91,0.05103887992282126,-0.16802092909295857,0.3
22.92,0.05128752700366368,-0.16793328869268984,0.3
22.93,0.05153602579113972,-0.16784527971673602,0.3
22.94,0.051784375738001626,-0.16775690241292268,0.3
22.95,0.052032576297412016,-0.16766815702989074,0.3
22.96,0.052280626922944676,-0.16757904381709607,0.3
22.97,0.05252852706858382,-0.1674895630248098,0.3
22.98,0.05277627618872477,-0.16739971490411804,0.3
22.990000000000002,0.053023873738173376,-0.16730949970692213,0.3
23.0,0.05327131917214628,-0.16721891768593863,0.3
23.01,0.053518611946271145,-0.167127969094699,0.3
23.02,0.05376575151658607,-0.16703665418755004,0.3
23.03,0.054012737339540304,-0.16694497321965354,0.3
23.04,0.05425956887199349,-0.16685292644698654,0.3
23.05,0.05450624557121643,-0.16676051412634105,0.3
23.06,0.05475276689489034,-0.1666677365153244,0.3
23.07,0.05499913230110756,-0.16657459387235887,0.3
23.080000000000002,0.055245341248370966,-0.16648108645668203,0.3
23.09,0.0554913931955942,-0.16638721452834646,0.3
23.1,0.055737287602101955,-0.1662929783482199,0.3
23.11,0.05598302392762934,-0.1661983781779853,0.3
23.12,0.0562286016323226,-0.16610341428014058,0.3
23.13,0.056474020177651935,-0.1660080869173984,0.3
23.14,0.05671927902575001,-0.1659123963530826,0.3
23.150000000000002,0.056964377637753284,-0.1658163428522338,0.3
23.16,0.05720931547525459,-0.1657199266806808,0.3
23.17,0.05745409200031585,-0.16562314810503267,0.3
23.18,0.05769870667546744,-0.16552600739267875,0.3
23.19,0.057943158963708934,-0.1654285048117885,0.3
23.2,0.05818744832850835,-0.16533064063131178,0.3
23.21,0.05843157423380287,-0.16523241512097847,0.3
23.22,0.058675536143998175,-0.16513382855129893,0.3
23.23,0.05891933352396909,-0.1650348811935635,0.3
23.240000000000002,0.059162965839059,-0.16493557331984293,0.3
23.25,0.059406432555080116,-0.1648359052029882,0.3
23.26,0.059649733138313725,-0.16473587711663032,0.3
23.27,0.059892867055509585,-0.16463548933518085,0.3
23.28,0.06013583377388663,-0.16453474213383126,0.3
23.29,0.06037863276113224,-0.1644336357885535,0.3
23.3,0.060621263485403,-0.16433217057609958,0.3
23.31,0.06086372541532392,-0.1642303467740019,0.3
23.32,0.061106018019989224,-0.1641281646605729,0.3
23.330000000000002,0.06134814076896166,-0.16402562451490543,0.3
23.34,0.06159009313227281,-0.1639227266168725,0.3
23.35,0.06183187458042333,-0.1638194712471273,0.3
23.36,0.062073484584382346,-0.1637158586871034,0.3
23.37,0.062314922615588166,-0.16361188921901437,0.3
23.38,0.06255618814594754,-0.16350756312585424,0.3
23.39,0.06279728064783643,-0.16340288069139713,0.3
23.400000000000002,0.0630381995940993,-0.16329784220019747,0.3
23.41,0.06327894445804946,-0.1631924479375899,0.3
23.42,0.06351951471346934,-0.16308669818968927,0.3
23.43,0.06375990983460976,-0.16298059324339068,0.3
23.44,0.06400012929619076,-0.16287413338636939,0.3
23.45,0.06424017257340085,-0.16276731890708107,0.3
23.46,0.06448003914189768,-0.1626601500947614,0.3
23.47,0.06471972847780741,-0.1625526272394265,0.3
23.48,0.06495924005772533,-0.16244475063187253,0.3
23.490000000000002,0.0651985733587153,-0.16233652056367603,0.3
23.5,0.06543772785831002,-0.16222793732719373,0.3
23.51,0.06567670303451123,-0.16211900121556252,0.3
23.52,0.06591549836578918,-0.16200971252269966,0.3
23.53,0.06615411333108326,-0.16190007154330247,0.3
23.54,0.06639254740980133,-0.16179007857284866,0.3
23.55,0.06663080008182046,-0.16167973390759605,0.3
23.56,0.06686887082748612,-0.1615690378445828,0.3
23.57,0.067106759127613,-0.1614579906816272,0.3
23.580000000000002,0.06734446446348434,-0.16134659271732782,0.3
23.59,0.0675819863168522,-0.16123484425106355,0.3
23.6,0.06781932416993769,-0.1611227455829933,0.3
23.61,0.06805647750543044,-0.16101029701405645,0.3
23.62,0.06829344580672293,-0.16089749884579294,0.3
23.63,0.06853022855914631,-0.1607843513793693,0.3
23.64,0.06876682524690575,-0.1606708549179136,0.3
23.650000000000002,0.06900323535433046,-0.16055700976559795,0.3
23.66,0.06923945836627551,-0.16044281622733436,0.3
23.67,0.06947549376812201,-0.16032827460877447,0.3
23.68,0.06971134104577653,-0.1602133852163099,0.3
23.69,0.0699469996856718,-0.16009814835707192,0.3
23.7,0.07018246917476605,-0.15998256433893177,0.3
23.71,0.07041774900054361,-0.15986663347050026,0.3
23.72,0.07065283865101431,-0.15975035606112828,0.3
23.73,0.07088773761471413,-0.15963373242090628,0.3
23.740000000000002,0.07112244538070461,-0.15951676286066466,0.3
23.75,0.07135696143857308,-0.1593994476919736,0.3
23.76,0.07159128527843295,-0.15928178722714298,0.3
23.77,0.07182541639092309,-0.15916378177922266,0.3
23.78,0.07205935426720855,-0.15904543166200213,0.3
23.79,0.07229309839897982,-0.15892673719001082,0.3
